Fertilizer,Light,FL,LF,Diversity
F-,L-,F-L-,L-F-,6
F-,L-,F-L-,L-F-,7
F-,L-,F-L-,L-F-,10
F-,L-,F-L-,L-F-,9
F-,L-,F-L-,L-F-,5
F-,L-,F-L-,L-F-,9
F-,L-,F-L-,L-F-,7
F-,L-,F-L-,L-F-,6
F-,L+,F-L+,L+F-,10
F-,L+,F-L+,L+F-,9
F-,L+,F-L+,L+F-,9
F-,L+,F-L+,L+F-,11
F-,L+,F-L+,L+F-,9
F-,L+,F-L+,L+F-,9
F-,L+,F-L+,L+F-,7
F-,L+,F-L+,L+F-,7
F+,L-,F+L-,L-F+,4
F+,L-,F+L-,L-F+,4
F+,L-,F+L-,L-F+,6
F+,L-,F+L-,L-F+,4
F+,L-,F+L-,L-F+,5
F+,L-,F+L-,L-F+,5
F+,L-,F+L-,L-F+,4
F+,L-,F+L-,L-F+,4
F+,L+,F+L+,L+F+,7
F+,L+,F+L+,L+F+,8
F+,L+,F+L+,L+F+,9
F+,L+,F+L+,L+F+,9
F+,L+,F+L+,L+F+,10
F+,L+,F+L+,L+F+,10
F+,L+,F+L+,L+F+,10
F+,L+,F+L+,L+F+,7
