Block,Tank,Pred,Hatch,Res,Age.DPO,Age.FromEmergence,SVL.initial,Tail.initial,SVL.final,Mass.final,Resorb.days,NumAlive,NumKilled
1,2,C,E,Hi,45.38095238,11.38095238,18.4047619,5.369047619,19.00952381,0.382142857,3.785714286,44,6
2,22,C,E,Hi,65.37837838,31.37837838,19.64324324,6.002702703,19.93513514,0.462972973,4.162162162,38,12
3,36,C,E,Hi,51.92857143,17.92857143,18.12142857,4.867857143,18.73928571,0.37,4.035714286,28,22
4,38,C,E,Hi,67.25,33.25,17.94,5.3275,18.2175,0.3645,4.1,40,10
5,53,C,E,Hi,46.72340426,12.72340426,18.13404255,5.65106383,18.50638298,0.37106383,3.829787234,47,3
6,68,C,E,Hi,57.95555556,23.95555556,18.13777778,5.3,18.43555556,0.360444444,4.066666667,46,4
7,83,C,E,Hi,59.12195122,25.12195122,17.76585366,4.558536585,18.25365854,0.350243902,3.780487805,41,9
8,87,C,E,Hi,50.88888889,16.88888889,18.14222222,5.044444444,18.46,0.369777778,3.822222222,45,5
1,5,NL,E,Hi,64.75,30.75,19.715,5.435,20.11,0.4865,4.225,40,10
2,19,NL,E,Hi,59.675,25.675,19.36,5.585,19.6975,0.43175,4.55,41,9
3,28,NL,E,Hi,54.27586207,20.27586207,19.34827586,6.106896552,19.33793103,0.423103448,4.379310345,29,21
5,55,NL,E,Hi,38.11111111,4.111111111,16.88888889,4.944444444,17.02222222,0.293333333,3.444444444,9,41
1,6,L,E,Hi,44,10,21.475,7.8375,21.975,0.7375,5,8,42
2,17,L,E,Hi,42.65,8.65,19.69,5.56,20.44,0.514,3.8,20,30
3,35,L,E,Hi,41.83333333,7.833333333,21.91666667,7.458333333,22.4,0.643333333,4.5,12,38
4,43,L,E,Hi,45.13333333,11.13333333,18.87,5.973333333,19.21,0.406,4.666666667,30,20
5,54,L,E,Hi,46.13888889,12.13888889,19.07222222,5.65,19.52222222,0.445555556,4.027777778,36,14
6,70,L,E,Hi,50.15384615,16.15384615,19.97692308,7.453846154,20.52307692,0.506153846,4.230769231,13,37
7,76,L,E,Hi,59.89130435,25.89130435,19.56086957,5.808695652,19.95652174,0.452391304,3.956521739,46,4
8,86,L,E,Hi,45.42105263,11.42105263,20.55789474,6.173684211,21.15789474,0.520526316,5.210526316,19,31
1,3,C,L,Hi,53.82222222,19.82222222,18.92666667,4.802222222,19.12,0.411777778,3.511111111,46,4
2,16,C,L,Hi,60.81818182,26.81818182,17.99090909,5.620454545,18.28181818,0.357727273,4.25,44,6
3,25,C,L,Hi,71.51219512,37.51219512,20.05853659,6.280487805,20.28292683,0.479512195,4.097560976,41,9
4,39,C,L,Hi,83,49,19.18222222,5.864444444,19.52888889,0.417333333,4.755555556,45,5
5,52,C,L,Hi,40.63414634,6.634146341,17.7804878,4.904878049,18.30487805,0.358780488,3.682926829,41,9
6,64,C,L,Hi,66.6,32.6,17.98888889,5.44,18.22222222,0.358,4.222222222,45,5
7,81,C,L,Hi,64.7755102,30.7755102,17.8,5.224489796,18.27959184,0.340612245,3.959183673,49,1
8,94,C,L,Hi,51.72727273,17.72727273,18.11590909,5.213636364,18.475,0.371818182,4.022727273,44,6
1,1,NL,L,Hi,47.19148936,13.19148936,19.42553191,4.834042553,19.65957447,0.41787234,3.489361702,47,3
2,13,NL,L,Hi,58.54545455,24.54545455,19.1,5.486363636,19.46590909,0.43,4.227272727,44,6
3,30,NL,L,Hi,66.05,32.05,19.97,6.46,20.45,0.4785,4.575,40,10
1,9,L,L,Hi,45.17391304,11.17391304,21.30869565,6.891304348,21.65217391,0.59,4.217391304,23,27
2,23,L,L,Hi,47.29032258,13.29032258,18.99032258,6.232258065,19.34516129,0.411612903,4.483870968,31,19
3,34,L,L,Hi,48.88461538,14.88461538,20.28846154,6.861538462,20.61538462,0.475384615,4.230769231,26,24
4,46,L,L,Hi,48.5,14.5,21.725,6.9125,22.1,0.6975,4.875,8,42
5,58,L,L,Hi,47.65,13.65,18.37,4.58,18.94,0.38,3.725,40,10
